id;components
minecraft:brewing_stand;"{""minecraft:food"": {""nutrition"": 5,""saturation"": 2.5,""effects"": [{""effect"": {""id"": ""minecraft:strength"",""amplifier"": 1,""duration"": 800}},{""effect"": {""id"": ""minecraft:hunger"",""amplifier"": 200,""duration"": 20,""ambient"": false,""show_particles"": false,""show_icon"": false}}],""using_converts_to"": {""id"": ""minecraft:blaze_powder"",""components"": {""minecraft:food"": {""nutrition"": 1,""saturation"": 0,""effects"": [{""effect"": {""id"": ""minecraft:hunger"",""amplifier"": 80,""duration"": 20}}]}}}}}"
minecraft:brick_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:brown_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:brown_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:brown_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:brown_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:brown_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:chain;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:chiseled_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:chiseled_deepslate;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:chiseled_polished_blackstone;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:chiseled_quartz_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:chiseled_red_sandstone;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:chiseled_sandstone;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:chiseled_tuff;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:chiseled_tuff_bricks;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:coal_block;"{""minecraft:food"": {""nutrition"": 10,""saturation"": 1}}"
minecraft:cobbled_deepslate;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:cobbled_deepslate_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:cobblestone_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:cocoa_beans;;"{""minecraft:food"": {""nutrition"": 1,""saturation"": 1}}"
minecraft:bone_meal;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:copper_block;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:copper_bulb;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:copper_door;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:copper_grate;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:copper_trapdoor;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:cracked_deepslate_tiles;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:cut_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:cut_red_sandstone;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:cut_sandstone;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:cyan_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:cyan_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:cyan_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:cyan_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:cyan_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dark_prismarine;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_brain_coral;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_brain_coral_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_brain_coral_fan;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_bubble_coral;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_bubble_coral_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_bubble_coral_fan;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_fire_coral;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_fire_coral_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_fire_coral_fan;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_horn_coral;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_horn_coral_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_horn_coral_fan;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_tube_coral;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_tube_coral_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dead_tube_coral_fan;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:deepslate_brick_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:deepslate_tiles;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:deepslate_tile_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:diorite_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dripstone_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:emerald_block;"{""minecraft:food"": {""nutrition"": 15,""saturation"": 7}}"
minecraft:exposed_chiseled_copper;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:exposed_copper;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:exposed_copper_bulb;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:exposed_copper_door;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:exposed_copper_grate;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:exposed_copper_trapdoor;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:exposed_cut_copper;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:dirt;"{""minecraft:food"": {""nutrition"": 1,""saturation"": 0,""effects"": [{""effect"": {""id"": ""minecraft:hunger"",""duration"": 900}}]}}"
minecraft:granite;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:granite_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:gray_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:gray_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:gray_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:gray_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:gray_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:green_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:green_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:green_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:green_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:green_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:lantern;"{""minecraft:food"": {""nutrition"": 1,""saturation"": 0,""effects"": [{""effect"": {""id"": ""minecraft:night_vision"",""duration"": 900}}]}}"
minecraft:light_blue_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:light_blue_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:light_blue_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:light_blue_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:light_blue_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:light_gray_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:light_gray_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:light_gray_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:light_gray_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:light_gray_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:lime_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:lime_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:lime_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:lime_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:lime_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:magenta_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:magenta_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:magenta_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:magenta_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:magenta_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:magma_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:mud_brick_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:netherite_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:nether_brick_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:nether_sprouts;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:nether_wart_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:orange_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:orange_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:orange_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:orange_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:orange_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:oxidized_chiseled_copper;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:oxidized_copper;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:oxidized_copper_bulb;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:oxidized_copper_door;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:oxidized_copper_grate;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:oxidized_copper_trapdoor;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:oxidized_cut_copper;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:pink_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:pink_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:pink_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:pink_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:pink_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:polished_blackstone;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:polished_blackstone_brick_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:polished_blackstone_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:polished_deepslate;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:polished_deepslate_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:polished_tuff;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:polished_tuff_slab;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:polished_tuff_stairs;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:polished_tuff_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:prismarine;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:prismarine_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:purple_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:purple_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:purple_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:purple_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:purple_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:quartz_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:raw_copper_block;"{""minecraft:food"": {""nutrition"": 1,""saturation"": 0,""effects"": [{""effect"": {""id"": ""minecraft:strength"",""amplifier"": 0,""duration"": 100}}]}}"
minecraft:raw_gold_block;"{""minecraft:food"": {""nutrition"": 3,""saturation"": 0,""effects"": [{""effect"": {""id"": ""minecraft:strength"",""amplifier"": 0,""duration"": 100}}]}}"
minecraft:raw_iron_block;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 2,""effects"": [{""effect"": {""id"": ""minecraft:strength"",""amplifier"": 0,""duration"": 100}}]}}"
minecraft:redstone_block;"{""minecraft:food"": {""nutrition"": 3,""saturation"": 0,""effects"": [{""effect"": {""id"": ""minecraft:strength"",""amplifier"": 0,""duration"": 200}}]}}"
minecraft:redstone;"{""minecraft:food"": {""nutrition"": 1,""saturation"": 0,""effects"": [{""effect"": {""id"": ""minecraft:strength"",""amplifier"": 0,""duration"": 20}}]}}"
minecraft:red_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:red_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:red_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:red_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:red_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:red_nether_brick_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:red_sandstone;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:red_sandstone_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:repeater;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:respawn_anchor;"{""minecraft:food"": {""nutrition"": 0,""saturation"": 0,""effects"": [{""effect"": {""id"": ""minecraft:regeneration"",""amplifier"": 2,""duration"": 600}}]}}"
minecraft:sandstone_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:smooth_basalt;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:smooth_quartz;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:smooth_red_sandstone;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:smooth_sandstone;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:smooth_stone;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:soul_lantern;"{""minecraft:food"": {""nutrition"": 1,""saturation"": 0,""effects"": [{""effect"": {""id"": ""minecraft:night_vision"",""duration"": 1000}}]}}"
minecraft:stone_brick_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:string;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:tripwire_hook;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:tuff_bricks;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:tuff_brick_slab;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:tuff_brick_stairs;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:tuff_brick_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:tuff_slab;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:tuff_stairs;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:tuff_wall;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:warped_hyphae;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:waxed_chiseled_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_copper_block;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_copper_bulb;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_copper_door;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_copper_grate;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_copper_trapdoor;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_cut_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_exposed_chiseled_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_exposed_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_exposed_copper_bulb;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_exposed_copper_door;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_exposed_copper_grate;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_exposed_copper_trapdoor;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_exposed_cut_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_oxidized_chiseled_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_oxidized_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_oxidized_copper_bulb;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_oxidized_copper_door;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_oxidized_copper_grate;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_oxidized_copper_trapdoor;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_oxidized_cut_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_weathered_chiseled_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_weathered_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_weathered_copper_bulb;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_weathered_copper_door;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_weathered_copper_grate;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_weathered_copper_trapdoor;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:waxed_weathered_cut_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:weathered_chiseled_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:weathered_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:weathered_copper_bulb;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:weathered_copper_door;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:weathered_copper_grate;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:weathered_copper_trapdoor;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:weathered_cut_copper;"{""minecraft:food"": {""nutrition"": 4,""saturation"": 1}}"
minecraft:wet_sponge;"{""minecraft:food"": {""nutrition"": 1,""saturation"": 0,""effects"": [{""effect"": {""id"": ""water_breathing"",""duration"": 1000}}]}}"
minecraft:white_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:white_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:white_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:white_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:white_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:yellow_banner;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:yellow_candle;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:yellow_carpet;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:yellow_concrete;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:yellow_concrete_powder;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
minecraft:leather;"{""minecraft:food"": {""nutrition"": 2,""saturation"": 1}}"
